Respuesta, Fecha, Tipo, resultado
"b'{""message_id"":1}'",2023-02-26 01:15:46.871714,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:48.222827,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:49.624603,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:50.990233,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:52.327238,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:53.665075,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:15:55.012911,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:15:56.403978,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:57.768073,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:15:59.120047,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:00.574723,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:01.919610,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:03.281015,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:04.718009,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:06.069020,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:07.420516,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:16:08.780673,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:16:10.130617,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:11.463036,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:12.808927,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:14.148235,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:16:15.608161,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:16:16.970479,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:18.328073,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:19.694173,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:21.043816,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:16:22.395139,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:16:23.742908,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:25.084798,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:26.454544,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:27.811820,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:29.179844,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:30.548783,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:31.912266,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:33.261069,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:34.638523,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:16:35.992126,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:16:37.361924,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:38.708430,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:16:40.065830,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:16:41.435492,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:42.774917,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:44.126298,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:45.509598,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:46.859531,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:48.212948,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:49.585142,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:50.940935,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:16:52.306601,PEDIDOS,ERROR
b'Server Error',2023-02-26 01:16:53.651404,PEDIDOS,ERROR
b'Server Error',2023-02-26 01:16:55.011104,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:16:56.353646,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:57.713573,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:16:59.074552,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:17:00.434733,CLIENTES,ERROR
b'Server Error',2023-02-26 01:17:01.784988,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:17:03.157506,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:04.549295,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:05.917624,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:07.306018,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:08.645704,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:10.067887,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:17:11.417850,CLIENTES,ERROR
b'Server Error',2023-02-26 01:17:12.769170,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:17:14.115483,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:15.482860,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:16.843125,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:18.178383,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:19.582383,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:20.921653,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:22.288336,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:23.648539,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:25.017838,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:26.389089,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:27.759942,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:29.094374,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:30.456310,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:31.822887,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:33.188531,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:34.569018,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:17:35.916735,CLIENTES,SUCCESS
