Respuesta, Fecha, Tipo, resultado
"b'{""message_id"":1}'",2023-02-26 01:10:15.108669,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:16.448505,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:17.801696,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:19.151955,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:20.484820,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:21.831327,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:23.180255,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:24.532539,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:25.885392,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:27.240901,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:28.577196,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:29.937705,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:10:31.294614,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:32.644095,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:34.084629,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:10:35.443978,CLIENTES,ERROR
b'Server Error',2023-02-26 01:10:36.815740,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:10:38.166042,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:39.552625,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:40.889516,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:42.239301,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:43.591758,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:44.952471,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:46.298248,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:47.647008,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:48.993560,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:50.355617,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:51.726251,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:53.078516,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:54.535153,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:55.882947,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:57.235764,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:58.611250,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:10:59.966835,CLIENTES,SUCCESS
b'Server Error',2023-02-26 01:11:01.307193,CLIENTES,ERROR
"b'{""message_id"":1}'",2023-02-26 01:11:02.642010,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:04.001587,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:05.339686,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:06.691527,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:11:08.025125,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:11:09.380676,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:10.737806,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:12.096672,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:13.456063,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:14.823485,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:16.161056,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:17.508154,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:18.863150,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:20.222428,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:11:21.589148,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:11:22.940547,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:24.323135,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:25.686595,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:27.105772,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:28.451510,PEDIDOS,SUCCESS
b'Server Error',2023-02-26 01:11:29.804025,PEDIDOS,ERROR
"b'{""message_id"":1}'",2023-02-26 01:11:31.154480,CLIENTES,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:32.511856,PEDIDOS,SUCCESS
"b'{""message_id"":1}'",2023-02-26 01:11:33.875446,PEDIDOS,SUCCESS
